Full Name, Short Name, Last Update Date, Github ID, Paradox ID, Steam ID
Culture and Faith Granularity, CAFG, 2025.11.14, , 77063, 3206891770
Culture Expanded, CE, 2026.03.19, , , 2829397295
Community Flavor Pack, CFP, 2026.01.28, ElTyranos/CommunityFlavorPack, 12560, 2220098919
Ethnicities & Portraits Expanded, EPE, 2026.03.19, , , 2507209632
Ethnicities & Portraits Expanded and Community Flavor Pack Compatch, CFP + EPE, 2026.03.21, , , 2996881191
Regional Immersion and Cultural Enrichment, RICE, 2026.02.10, cybrxkhan/RICE-for-CK3, 15338, 2273832430
Special World, SW, 2026.03.23, , , 2875587269
