Full Name; Short Name; Last Update Date; Github ID; Paradox ID; Steam ID; 
Demand Tribute; DT; 2025.10.29; ib500/demand_tribute; 108043; 3473488611; 
Ethnicities & Portraits Expanded; EPE; 2025.11.11; ; ; 2507209632; 
Ethnicities & Portraits Expanded and Community Flavor Pack Compatch; EPE + CFP; 2025.11.12; ; ; 2996881191; 
More Bookmarks Plus; MBP; 2025.11.12; Leviathonlx/MoreBookmarks-Plus; ; 2216670956; 
Regional Immersion and Cultural Enrichment; RICE; 2025.11.07; cybrxkhan/RICE-for-CK3; 15338; 2273832430; 
Special Building Compatch; SBC; 2025.10.27; ; ; 2875587269; 
Unofficial Patch; UP; 2025.11.10; ProZeratul/CrusaderKings3UnofficialPatch; 54145; 2871648329; 
